Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
lvnc037,Jakarta Selatan,Pancoran,1,2,2,106.0,216000000
thrd001,Jakarta Pusat,Thamrin,1,2,3,86.0,204000000
urka013,Tangerang,Karawaci,1,1,0,33.0,50000000
anmc002,Jakarta Utara,Ancol,1,1,2,121.0,150000000
sipa001,Jakarta Selatan,Tebet,1,1,0,23.0,60000000
btvd004,Jakarta Pusat,Bendungan Hilir,1,3,3,185.0,300000000
trsc099,Jakarta Barat,Tanjung Duren,1,1,2,65.0,109000000
trsa041,Jakarta Barat,Tanjung Duren,0,1,0,26.0,47000000
mesc026,Jakarta Pusat,Menteng,1,1,2,30.0,41000000
splc007,Bekasi,Summarecon Bekasi,1,1,2,54.0,50000000
gdic045,Jakarta Timur,Kelapa Gading,1,1,2,42.0,35000000
sscb014,Jakarta Barat,Grogol,1,1,1,32.0,40000000
tnac022,Tangerang,Karang Tengah,0,1,2,46.0,27000000
thrc024,Jakarta Pusat,Thamrin,1,1,2,65.0,132000000
mprc030,Jakarta Barat,Kedoya,1,1,2,53.0,70000000
bscb043,Jakarta Timur,Cipinang,1,1,1,26.0,52000000
tmjc169,Jakarta Pusat,Kemayoran,1,1,2,62.0,76000000
mepa103,Jakarta Pusat,Menteng,1,1,0,28.0,75000000
tmbb148,Jakarta Pusat,Kemayoran,1,1,1,33.0,39000000
mepa089,Jakarta Pusat,Menteng,1,1,0,28.0,84000000
tssa013,Jakarta Selatan,Semanggi,1,1,0,35.0,72000000
ganc024,Jakarta Utara,Kelapa Gading,1,1,2,29.0,30000000
mrsc005,Tangerang,Serpong,1,1,2,45.0,50000000
gpvc041,Jakarta Barat,Cengkareng,1,1,2,34.0,35000000
skwb003,Tangerang,Serpong,1,1,1,49.0,50000000
pcvc003,Jakarta Selatan,Lebak Bulus,1,2,2,100.0,216000000
psvd005,Jakarta Utara,Pluit,0,2,3,56.0,25000000
cepb014,Jakarta Barat,Tanjung Duren,1,1,1,45.0,90000000
mgda003,Depok,Margonda,1,1,0,22.0,33500000
sphc015,Jakarta Pusat,Kemayoran,1,1,2,60.0,80000000
sgpa011,Jakarta Timur,MT Haryono,1,1,0,26.0,54000000
glsc013,Jakarta Utara,Sunter,0,1,2,42.0,30000000
sgpa004,Jakarta Timur,MT Haryono,0,1,0,26.0,45000000
aspc012,Jakarta Selatan,Fatmawati,1,2,2,54.0,97450000
calb022,Jakarta Timur,Kelapa Gading,0,1,1,69.0,50000000
ppvc102,Jakarta Barat,Kebon Jeruk,0,1,2,35.0,27000000
tmkb020,Jakarta Selatan,Kemang,1,1,1,87.0,140000000
ssud006,Jakarta Pusat,Bendungan Hilir,1,1,3,73.0,515970000
thrb053,Jakarta Pusat,Thamrin,1,1,1,41.0,96000000
gklc001,Bekasi,Pekayon,1,1,2,65.0,90000000
tmbb065,Jakarta Pusat,Kemayoran,0,1,1,64.0,78000000
n-d0001,Jakarta Selatan,Kemang,1,3,3,198.0,421200000
gmmc004,Jakarta Barat,Gajah Mada,1,1,2,45.0,52000000
bpva008,Jakarta Selatan,Bintaro,1,1,0,22.0,42000000
taad002,Jakarta Barat,Tanjung Duren,1,2,3,146.0,180000000
gprb014,Jakarta Pusat,Cempaka Putih,1,1,1,33.0,54000000
ganc023,Jakarta Utara,Kelapa Gading,1,1,2,36.0,18900000
sipc008,Jakarta Selatan,Tebet,1,1,2,38.0,75600000
gdic031,Jakarta Timur,Kelapa Gading,1,1,2,36.0,25000000
pgva005,Depok,Cimanggis,1,1,0,21.0,35000000
pucb008,Jakarta Barat,Cengkareng,1,1,1,35.0,47000000
wpra008,Jakarta Selatan,Kalibata,1,1,0,29.0,55200000
bmsb003,Jakarta Selatan,Fatmawati,1,1,1,45.0,80000000
taab004,Jakarta Barat,Tanjung Duren,1,2,1,85.0,98000000
csbb017,Jakarta Selatan,Casablanca,1,1,1,80.0,180000000
mg2c112,Jakarta Barat,Tanjung Duren,1,1,2,42.0,56000000
kmva043,Jakarta Selatan,Kemang,1,1,0,43.0,144000000
gwrc004,Jakarta Barat,Kebon Jeruk,0,2,2,86.0,120000000
thrb072,Jakarta Pusat,Thamrin,1,1,1,41.0,72000000
kmva037,Jakarta Selatan,Kemang,1,1,0,43.0,150000000
pucc019,Jakarta Barat,Cengkareng,1,1,2,50.0,60000000
narc005,Jakarta Utara,Ancol,1,1,2,41.0,55000000
sphc035,Jakarta Pusat,Kemayoran,0,1,2,58.0,65000000
sphc014,Jakarta Pusat,Kemayoran,1,2,2,60.0,75000000
ppvc238,Jakarta Barat,Kebon Jeruk,1,1,2,35.0,35000000
mpra065,Jakarta Barat,Kedoya,1,1,0,28.0,42000000
ptpc001,Jakarta Timur,Cawang,1,1,2,45.0,66000000
apla015,Tangerang,Serpong,1,1,0,23.0,36000000
r-c0001,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,34000000
cptb002,Jakarta Pusat,Salemba,1,1,1,25.0,55000000
stmc021,Jakarta Barat,Puri Indah,1,1,2,84.0,156000000
kucb020,Jakarta Selatan,Kuningan,1,1,1,48.0,144000000
gprc062,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,48000000
crwc017,Jakarta Selatan,Kuningan,1,2,2,113.0,270000000
sgpc031,Jakarta Timur,MT Haryono,1,1,2,50.0,90000000
ppva051,Jakarta Barat,Kebon Jeruk,1,1,0,21.0,35000000
trsc046,Jakarta Barat,Tanjung Duren,0,1,2,44.0,85000000
glsc002,Jakarta Utara,Sunter,1,1,2,42.0,55000000
mapb034,Jakarta Barat,Tanjung Duren,1,1,1,28.0,55000000
mepc037,Jakarta Pusat,Menteng,1,1,2,63.0,220350000
gdic029,Jakarta Timur,Kelapa Gading,1,1,2,36.0,25000000
gdbb006,Jakarta Selatan,Pejaten,1,1,1,34.0,60050000
brob006,Tangerang,Alam Sutera,1,1,1,45.0,65000000
blma050,Jakarta Barat,Kebon Jeruk,1,1,0,22.0,38000000
blgb005,Jakarta Selatan,Kuningan,1,1,1,60.0,156000000
mwfc001,Jakarta Selatan,Setiabudi,1,2,2,88.0,300000000
lvdf006,Jakarta Selatan,Tebet,1,1,1,33.0,71750000
